"AccountID","DCID","DealerName","StockNumber","VIN","Year","Make","Model","Trim","Odometer","Price","ExteriorColor","InteriorColor","Transmission","PhotoUrl","WebDescription","EquipmentCode","LatestPhotoMdifiedDate","VideoUrl"
"22887597","22887597","Mikalyzed Auto Boutique","N744820","HDR43744820","1958","MG","A HARD TOP","","","39900","Red","","","https://imagesdl.dealercenter.net/800/600/202601-a59eb21d7dcc4bfbb0608beee273084c.jpg,https://imagesdl.dealercenter.net/800/600/202601-6fead3d1bbe5481c904ae69818f38a7c.jpg,https://imagesdl.dealercenter.net/800/600/202601-6e13de7737594a3aa422814618df4936.jpg,https://imagesdl.dealercenter.net/800/600/202601-1bc585738fd54f95b4159cffb4cdbe04.jpg,https://imagesdl.dealercenter.net/800/600/202601-e941b538ed584602be6ea487a0e2efa7.jpg,https://imagesdl.dealercenter.net/800/600/202601-bba1d058cfcc416bbcf11a2511e38fc1.jpg,https://imagesdl.dealercenter.net/800/600/202601-93d5326d04834263a05bb827b848fa04.jpg,https://imagesdl.dealercenter.net/800/600/202601-6c3d58214026414183dd75dbc4161843.jpg,https://imagesdl.dealercenter.net/800/600/202601-63425cfb901e48d389808e446fb21e02.jpg,https://imagesdl.dealercenter.net/800/600/202601-1cbef4c1d23b46b1a8db0e789328b5e6.jpg,https://imagesdl.dealercenter.net/800/600/202601-b811f088b39a45fca9686d7b22c23093.jpg,https://imagesdl.dealercenter.net/800/600/202601-8e76ed2cca4d402c95d3aa2ef943c569.jpg,https://imagesdl.dealercenter.net/800/600/202601-bfad0da4564d4c9597ee2425e55303c2.jpg,https://imagesdl.dealercenter.net/800/600/202601-aacdbbe0a997456cb462c19159860e69.jpg,https://imagesdl.dealercenter.net/800/600/202601-1edd6443d61745cb9cc8f6f9c6b51df3.jpg,https://imagesdl.dealercenter.net/800/600/202601-af8f9a527f5c4a36b96f7b0b85925c94.jpg,https://imagesdl.dealercenter.net/800/600/202601-4130bc1336b84f8e8c91a49be223a327.jpg,https://imagesdl.dealercenter.net/800/600/202601-822cdecb5a25491fbd482a63393bd7b2.jpg,https://imagesdl.dealercenter.net/800/600/202601-9951715200b648e6af6f069d6377e70e.jpg,https://imagesdl.dealercenter.net/800/600/202601-81267fe4f02f4b6c9cf845ca0bfa5a01.jpg,https://imagesdl.dealercenter.net/800/600/202601-e8c2136f86a0427294ff68bf4de93fb1.jpg,https://imagesdl.dealercenter.net/800/600/202601-29da8bbb67174a919b0b291437a52c09.jpg,https://imagesdl.dealercenter.net/800/600/202601-4c4f45c4f6e3406cb7c688d877fdf90d.jpg,https://imagesdl.dealercenter.net/800/600/202601-ec48f36014a2449c8255d575ebfafdb7.jpg,https://imagesdl.dealercenter.net/800/600/202601-225de1913f084b56ae90b869a2e0dd80.jpg,https://imagesdl.dealercenter.net/800/600/202601-8494b7886d1047e785c48607200a5070.jpg,https://imagesdl.dealercenter.net/800/600/202601-22783d214409426a978de9c899eb4c43.jpg,https://imagesdl.dealercenter.net/800/600/202601-f3d706ee2cf34e16a382ebd927e2c15b.jpg,https://imagesdl.dealercenter.net/800/600/202601-87a97b8c02014e1e85ef084fb253c9b9.jpg,https://imagesdl.dealercenter.net/800/600/202601-e858279579dd47d1b35de4659652bbce.jpg,https://imagesdl.dealercenter.net/800/600/202601-3237ce33e5ba4bafaf38498fe62608ce.jpg,https://imagesdl.dealercenter.net/800/600/202601-0bd02cb8c6b2447f8db8247e7f21992e.jpg,https://imagesdl.dealercenter.net/800/600/202601-ef6efa8e15e5401d8b548994497dca59.jpg,https://imagesdl.dealercenter.net/800/600/202601-0508c0dfeb524838a33b79cf390f5eec.jpg,https://imagesdl.dealercenter.net/800/600/202601-e2b659cf96844dad80584f73d1304296.jpg,https://imagesdl.dealercenter.net/800/600/202601-0107e03ace0f4af0be67736833e978bb.jpg,https://imagesdl.dealercenter.net/800/600/202601-73fe3209abe4461fbb80577cdff2be8b.jpg,https://imagesdl.dealercenter.net/800/600/202601-e539414ba4fd48ae9cee54085969be91.jpg,https://imagesdl.dealercenter.net/800/600/202601-6cbe79ac6d7c4403a6ae5526ce4745af.jpg,https://imagesdl.dealercenter.net/800/600/202601-37daeaaffc814008a96c553810acca8b.jpg","  1958 MG Hardtop  Mostly Original | Meticulously Maintained   This 1958 MG Hardtop captures the essence of classic British motoring  lightweight, engaging, and unmistakably timeless. Beautifully preserved and thoughtfully enhanced, this example remains mostly original while incorporating subtle custom touches that set it apart.
 Under the skin, the car retains its authentic character, delivering the raw, connected driving experience that made MG a household name among sports car enthusiasts. The seating and interior have been updated for comfort and presentation, while maintaining the spirit of the original design. Adding a unique visual and stylistic statement, the vehicle now features custom dihedral doors  a rare modification that enhances both presence and individuality.
 Meticulously maintained, this MG starts, runs, and drives exactly as a proper vintage British roadster should. Light on its feet and responsive through every turn, it offers a pure, analog driving experience that modern cars simply cannot replicate.
"," ","1/27/2026 10:15:38 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N517539","1GTDC14Z8NZ517539","1992","GMC","1500 Regular Cab","Short Bed","171208","65000","Blue","Tan","Automatic","https://imagesdl.dealercenter.net/800/600/202602-8175e451a7dc4c5e898f52d83f40a8ec.jpg,https://imagesdl.dealercenter.net/800/600/202602-01f517f346694144b3dae412b7ebae65.jpg,https://imagesdl.dealercenter.net/800/600/202602-42d4edffac7342fa82d3413d6dd005ab.jpg,https://imagesdl.dealercenter.net/800/600/202602-7bd9887f9f194cceaef6a9809fdf096b.jpg,https://imagesdl.dealercenter.net/800/600/202602-459c8dbc37d6430a8fa901ad6c9fc876.jpg,https://imagesdl.dealercenter.net/800/600/202602-6e9d0e0e0c7441458e910d5617a2f788.jpg,https://imagesdl.dealercenter.net/800/600/202602-0c2b156460e24132ae0c28a42cc97a61.jpg,https://imagesdl.dealercenter.net/800/600/202602-b8dfc82ef6414559a6e9ad66a3de13b2.jpg,https://imagesdl.dealercenter.net/800/600/202602-986d6ed4228840418ca77716a66b5010.jpg,https://imagesdl.dealercenter.net/800/600/202602-33ee634f3f7844e28917ec759eaaa43e.jpg,https://imagesdl.dealercenter.net/800/600/202602-8a19d03e5196466c991bc2cc3102e288.jpg,https://imagesdl.dealercenter.net/800/600/202602-0018b829896f468d939c6fd611faf331.jpg,https://imagesdl.dealercenter.net/800/600/202602-0c197a1526f540c7a352d6f556b445e7.jpg,https://imagesdl.dealercenter.net/800/600/202602-4a0023b765564435a6c8c9734069831a.jpg,https://imagesdl.dealercenter.net/800/600/202602-b57d6199ed7c4fb99875dd7ce3b02f0d.jpg,https://imagesdl.dealercenter.net/800/600/202602-fcce6902f4b2431a81b801a973537b07.jpg,https://imagesdl.dealercenter.net/800/600/202602-967dc041c2bd49369405e3548c612347.jpg,https://imagesdl.dealercenter.net/800/600/202602-eb05858a023f4315a2d5bb1786bc46fc.jpg,https://imagesdl.dealercenter.net/800/600/202602-e20f189d004c45d7bb71c63716c2ffe9.jpg,https://imagesdl.dealercenter.net/800/600/202602-92c269269c484e7984c6e89a47c9c14b.jpg,https://imagesdl.dealercenter.net/800/600/202602-c4c3d436608a4cf5a1e1c9324777e371.jpg,https://imagesdl.dealercenter.net/800/600/202602-690f3f67304c4681898a9df6ab3ad689.jpg,https://imagesdl.dealercenter.net/800/600/202602-71ee18adfc6b4ad18a4b972ab2c1aa60.jpg,https://imagesdl.dealercenter.net/800/600/202602-4d53cf21dc504e3a80229007bd3fb22d.jpg,https://imagesdl.dealercenter.net/800/600/202602-c0b59f23a85d42bfbe0801f106e82ba6.jpg,https://imagesdl.dealercenter.net/800/600/202602-49eba7288d1a46d9b5cdb456ca9d9115.jpg,https://imagesdl.dealercenter.net/800/600/202602-ddce2080f43144e38ea55d4db3f2fa4b.jpg,https://imagesdl.dealercenter.net/800/600/202602-17a5e805be1b4e99a94769f18e135bb4.jpg,https://imagesdl.dealercenter.net/800/600/202602-42a1620f1de74e799351c4f87a8bd6a7.jpg,https://imagesdl.dealercenter.net/800/600/202602-b3b79bbdc5cb4c4e8da2701b7c14aabe.jpg,https://imagesdl.dealercenter.net/800/600/202602-0c0e350217d14a0994305f6a967b3e8a.jpg","  1992 GMC 1500  Fresh Custom Build | GM Crate Motor   This 1992 GMC 1500 is a brand-new custom build that blends classic OBS truck styling with modern performance and show-quality execution. Built from the ground up with attention to detail throughout, this truck delivers both visual impact and serious performance.
 At the heart of the build is a fully built GM crate motor, complemented by shorty headers and a meticulously detailed engine bay. The setup is clean, aggressive, and purpose-driven  offering strong power delivery while maintaining reliability. The engine bay presentation reflects the level of craftsmanship that went into the entire build.
 The suspension has been upgraded with a new 4-link setup, dramatically improving stance and drivability while giving the truck a planted, performance-oriented feel. New brakes and a new fuel tank ensure that the mechanical foundation matches the fresh performance components.
 Finished in brand-new paint and complemented by a completely redone interior, this GMC feels as fresh as it looks. The stance is unmistakable, sitting on massive 24x14 rear wheels and 22x8.5 fronts, wrapped in 405 tires all around  giving it an aggressive, wide footprint that commands attention from every angle.
 This is not a refreshed truck  its a fully reimagined OBS build executed with modern components and show-ready detail.
","2WD,Power Windows,Power Steering,V6 4.3 Liter,Oversized Premium Wheels 20+,Air Conditioning,AM/FM Stereo,Cassette,Cruise Control,ABS (4-Wheel),Power Door Locks,Automatic,Tilt Wheel","2/9/2026 5:45:35 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N218948","BNR32218948","1991","Nissan","Skyline","GT-R","113829","59900","Gray","Black","Manual","https://imagesdl.dealercenter.net/800/600/202510-8314a05ecf134f5fa6ac7bdcf4d5c009.jpg,https://imagesdl.dealercenter.net/800/600/202510-d9870b382b7443c58b4c16033eec2dc2.jpg,https://imagesdl.dealercenter.net/800/600/202510-a03f5e035703437f94000f47f21b23f2.jpg,https://imagesdl.dealercenter.net/800/600/202510-48e230493fc44b99b39c630efa529818.jpg,https://imagesdl.dealercenter.net/800/600/202510-ebe58742e329448aa2fbee1bdf344abc.jpg,https://imagesdl.dealercenter.net/800/600/202510-f757777aa73d41f083d1489d73c33da6.jpg,https://imagesdl.dealercenter.net/800/600/202510-8ffd1dd970ac4bf9afab6277bc389889.jpg,https://imagesdl.dealercenter.net/800/600/202510-b121204c9c5e46bfb5c63be291ebde9e.jpg,https://imagesdl.dealercenter.net/800/600/202510-6ad8b98baf9c487f855b0fa6611056ae.jpg,https://imagesdl.dealercenter.net/800/600/202510-7bb7a07d72654ea3b1d13db6de3f0cc9.jpg,https://imagesdl.dealercenter.net/800/600/202510-6b29841a807d42bdadf367a8a531ce37.jpg,https://imagesdl.dealercenter.net/800/600/202510-1917b1dcdc2a4b52a81f30b26ab403eb.jpg,https://imagesdl.dealercenter.net/800/600/202510-7b9435e9def14b8099b42bfb73d59f92.jpg,https://imagesdl.dealercenter.net/800/600/202510-00dc8fd698cc47a1bc72bdcd78fe6ace.jpg,https://imagesdl.dealercenter.net/800/600/202510-8aa9d195ce904a26b059badc99e82aa0.jpg,https://imagesdl.dealercenter.net/800/600/202510-934be46f03bd40bd80e97b162dd1259e.jpg,https://imagesdl.dealercenter.net/800/600/202510-0a08693a8ef042d3abff37dd4db55a88.jpg,https://imagesdl.dealercenter.net/800/600/202510-69470d1893e94a3ab3128286dabdc4ea.jpg,https://imagesdl.dealercenter.net/800/600/202510-482a12461d714cf480f214b941034755.jpg,https://imagesdl.dealercenter.net/800/600/202510-6f1b8196536b4bc59902b5fa9aa90a6b.jpg,https://imagesdl.dealercenter.net/800/600/202510-ce23638b60e3464da362986e95c58be6.jpg,https://imagesdl.dealercenter.net/800/600/202510-7df107198b0846b182cb95f2ca4215f6.jpg,https://imagesdl.dealercenter.net/800/600/202510-6c71f8c887dd443b8161bc3f6d86a716.jpg,https://imagesdl.dealercenter.net/800/600/202510-f57aeeccd45049029bf82444ee4dac93.jpg,https://imagesdl.dealercenter.net/800/600/202510-c5c5d184ab564edbace689c39c196aa2.jpg,https://imagesdl.dealercenter.net/800/600/202510-af95ce421695427a814421c46e349d9b.jpg,https://imagesdl.dealercenter.net/800/600/202510-66dd7c0f825e4cc690a7626f764fb7b0.jpg","  Nissan Skyline GT-R BNR32, Fully Built Japanese Underground Performance Machine","  ","10/13/2025 7:15:40 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N000952","3JBUUAX46PK000952","2023","Can-Am","Defender MAX Lone Star Cab","","0","69900","Black","","","https://imagesdl.dealercenter.net/800/600/202512-2255f9cc84a84851a77193fcc5056191.jpg","  2023 Can-Am Defender Lone Star Edition, Turbo Kit Upgrade and Street Legal","  ","12/9/2025 3:22:13 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N170942","WP0EA091XDS170942","1983","Porsche","911 SC","2D Cabriolet","133473","79900","White","Black","Manual","https://imagesdl.dealercenter.net/800/600/202508-07a225fe559b408f83507c34a8dd3381.jpg","  1983 Porsche 911 SC Cabriolet, Slant Nose Aluminum Conversion","  ","8/22/2025 5:15:40 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","NA15655","ZPBUA1ZL3MLA15655","2021","Lamborghini","Urus","Sport Utility 4D","4728","209000","White","","Automatic, 8-Spd","https://imagesdl.dealercenter.net/800/600/202512-a8ec4d82fa4c428a841f8c5161fb45c2.jpg"," 2021 Lamborghini Urus, 4,728 Original Miles","Side Air Bags,Automatic 8-Spd","12/9/2025 8:50:48 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N004334","3JBUUAX40PK004334","2023","Can-Am","Defender MAX Limited HD10","","0","69900","Blue","","","https://imagesdl.dealercenter.net/800/600/202602-94bbebae063b439d9ba82f8932056ef2.jpg"," "," ","2/5/2026 8:40:37 PM","https://customer-gpgycf8xdxglwfgi.cloudflarestream.com/c264cadc102f856914d7aeb1df4c3a06/watch"
"22887597","22887597","Mikalyzed Auto Boutique","N034772","1HD1JD5129Y034772","2009","Harley Davidson","FLTSN","","0","24900","","","","https://imagesdl.dealercenter.net/800/600/202602-8e8626eaa002449f948a1dbf129ef73a.jpg"," "," ","2/9/2026 5:35:46 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N133406","1G6A15S65J0133406","2018","Cadillac","CTS-V","Sedan 4D","44685","72900","White","","Automatic, 8-Spd","https://imagesdl.dealercenter.net/800/600/202512-d4f09ffd09c547f883460f699506ccc4.jpg"," ","RWD,Luxury Pkg","1/9/2026 5:40:32 PM",""
"22887597","22887597","Mikalyzed Auto Boutique","N208815","1L47H51208815","1975","Chevrolet","Impala","Coupe","68891","31900","Red","White","","https://imagesdl.dealercenter.net/800/600/202508-e80853bec2d34d5da226a7dc9c26fbe3.jpg","  1975 Chevrolet Impala, Original Condition"," ","8/14/2025 3:35:46 PM",""
